model,model_class,cv_r2_log_mean,cv_r2_log_std,val_r2_per_sqm,val_mae_per_sqm,val_mape_percent,test_r2_per_sqm,test_mae_per_sqm,test_mape_percent,improvement_vs_baseline_r2
random_forest,RandomForestRegressor,0.7315460153353538,0.02941843036361564,0.5651896373709714,81319.23276520026,19.460052901386202,0.6819992332590583,72086.97491215135,16.578399631643205,0.3682902332590583
gradient_boosting,GradientBoostingRegressor,0.7239489995658923,0.022879233030755546,0.5435229643526971,86340.56536070921,20.735801497448108,0.672409503219342,76470.27350688828,18.088872987855524,0.358700503219342
ridge_linear,Ridge,0.643094361849334,0.02267574944732433,0.47439685093121853,94546.17738259658,22.01433950400917,0.5803429679881684,90381.9346608224,21.543618204771768,0.2666339679881684
B2_non_ml_baseline,group_median_baseline,,,,,,0.313709,,,0.0
