name,mae,mape,r2_price,r2_per_sqm
B0 global median price_per_sqm,15162500.643108694,38.00008666726106,0.34940852516145715,-0.07219718892114813
B1 median price_per_sqm by rooms,15106814.819189098,37.96968890626311,0.35264239646428597,-0.07557185049429926
B2 median price_per_sqm by district + rooms,11684520.28000685,28.48466865365359,0.6036046768990442,0.32875635681981175
B3 comparable listings KNN on price_per_sqm,11300934.306147406,28.274386963629834,0.6399475884620074,0.3658636957099505
B4 median price_per_sqm by center_distance_bin + rooms,12314591.41372541,29.81852665874314,0.5207674219266581,0.1803614719700971
B5 median price_per_sqm by metro_distance_bin + rooms,14643461.615850242,36.39771155852925,0.41077363905957864,-0.007108800275190008
