rooms_count,rooms_ads_count,rooms_median_price,rooms_median_price_per_sqm,rooms_p25_price_per_sqm,rooms_p75_price_per_sqm
0,263,7500000.0,313311.6883116883,243362.9203482637,431942.4283135882
1,258,12100000.0,316179.96971663425,218807.02554744523,472179.52702702704
2,261,20999000.0,338071.4560122935,216386.55462184874,497250.0
3,255,32901180.0,376046.2225475842,221458.86039886042,532006.0691945107
4,263,50900000.0,378150.3013029316,210093.366242963,658019.1756512275
