room_segment,room_segment_ads_count,room_segment_median_price,room_segment_median_price_per_sqm,room_segment_p25_price_per_sqm,room_segment_p75_price_per_sqm
1room,480,11568275.0,301631.07377241924,228976.29490099876,438060.59734513273
2rooms,454,18002437.5,310892.5476603119,221041.310355129,427478.98799773015
3rooms,391,28592000.0,347945.20547945204,209881.26649076518,479463.60153256706
4rooms,454,40954857.5,300112.2791243158,211563.56577557,516332.83518836566
studio,423,7800000.0,318181.8181818182,256252.75590551182,411670.42067508626
