listing_id,source,collected_at,location_query,author_type,room_segment,rooms_count,total_meters,log_total_meters,floor,floors_count,floor_ratio,is_first_floor,is_last_floor,district,underground,residential_complex,lat,lon,geo_precision,distance_to_center_km,distance_to_metro_km,distance_to_metro_route_km,duration_to_metro_route_min,metro_route_provider,metro_known,price,log_price,target_price_per_sqm,log_target_price_per_sqm,district_ads_count,district_median_price,district_median_price_per_sqm,district_p25_price_per_sqm,district_p75_price_per_sqm,district_rooms_ads_count,district_rooms_median_price,district_rooms_median_price_per_sqm,district_rooms_p25_price_per_sqm,district_rooms_p75_price_per_sqm,underground_ads_count,underground_median_price,underground_median_price_per_sqm,underground_p25_price_per_sqm,underground_p75_price_per_sqm,rooms_ads_count,rooms_median_price,rooms_median_price_per_sqm,rooms_p25_price_per_sqm,rooms_p75_price_per_sqm
309824174,cian,2026-05-31T10:25:45.229890+00:00,Санкт-Петербург,developer,studio,0,22.6,3.1612467120315646,9.0,12.0,0.75,False,False,Курортный,unknown,МФК Морская ривьера,59.9916221,30.1654288,house,10.160077902940404,,,,,False,13590002.0,16.424845006877852,601327.5221238937,13.306896690001974,47,23704000.0,373897.7072310405,303943.888794711,499783.50168350164,8,11095001.0,470021.7760284691,291388.8888888889,610892.0041595765,62,16725000.0,284839.9949083503,173062.84818791598,455000.0,423,7800000.0,318181.8181818182,256252.75590551182,411670.42067508626
330319046,cian,2026-05-31T10:25:45.229890+00:00,Санкт-Петербург,real_estate_agent,studio,0,24.27,3.229617921400103,4.0,5.0,0.8,False,False,Московский,Купчино,Парадный ансамбль,59.8186803,30.1008257,house,17.87292866245399,15.749055807656026,18.65,223.79666666666665,openrouteservice:foot-walking,True,5500000.0,15.520258832020865,226617.2229089411,12.331022043181726,183,12500000.0,308848.0801335559,241684.9593495935,366302.5488814459,53,7800000.0,331683.1683168317,289522.0588235294,366220.79069767444,85,9740000.0,216666.66666666666,190597.19186785258,252707.58122743684,423,7800000.0,318181.8181818182,256252.75590551182,411670.42067508626
329716245,cian,2026-05-31T10:25:45.229890+00:00,Санкт-Петербург,realtor,studio,0,30.4,3.446807892914208,3.0,29.0,0.1034482758620689,False,False,Московский,Купчино,IN2IT,59.83117,30.3722494,house,12.37838036313966,0.5961429417209027,0.7754,9.305,openrouteservice:foot-walking,True,4800000.0,15.38412668421143,157894.73684210528,11.96969020077922,183,12500000.0,308848.0801335559,241684.9593495935,366302.5488814459,53,7800000.0,331683.1683168317,289522.0588235294,366220.79069767444,85,9740000.0,216666.66666666666,190597.19186785258,252707.58122743684,423,7800000.0,318181.8181818182,256252.75590551182,411670.42067508626
308885390,cian,2026-05-31T10:25:45.229890+00:00,Санкт-Петербург,developer,studio,0,18.52,2.9714395809849465,13.0,17.0,0.7647058823529411,False,False,Невский,Улица Дыбенко,Апарт-комплекс Зум на Неве,59.9022156,30.4443146,house,8.308584714865061,2.2422297668505173,2.5647,30.776666666666664,openrouteservice:foot-walking,True,4490003.0,15.317364150586638,242440.76673866092,12.39851682336197,159,10038600.0,242440.76673866092,205789.27773641102,312762.5476603119,49,6387734.0,291330.0,232258.06451612903,337786.25954198476,52,11203412.0,233763.38366187527,197461.79781391047,317767.499463289,423,7800000.0,318181.8181818182,256252.75590551182,411670.42067508626
330448223,cian,2026-05-31T10:25:45.229890+00:00,Санкт-Петербург,real_estate_agent,studio,0,20.0,3.044522437723423,2.0,19.0,0.1052631578947368,False,False,Красногвардейский,Девяткино,Пейзажный квартал,60.0180397,30.4723906,house,12.473116462792715,3.897617912803721,5.0897,61.07666666666667,openrouteservice:foot-walking,True,3500000.0,15.068273812173889,175000.0,12.07254696717504,133,10600000.0,236008.01282051284,201072.38605898124,365940.0,33,7677594.0,240000.0,213120.0,345327.1028037383,36,6745000.0,198314.2105263158,187398.68852459016,213345.0,423,7800000.0,318181.8181818182,256252.75590551182,411670.42067508626
323514186,cian,2026-05-31T10:25:45.229890+00:00,Санкт-Петербург,developer,studio,0,71.6,4.28496492183075,1.0,7.0,0.1428571428571428,True,False,Василеостровский,Василеостровская,Амо,59.9392754,30.2438761,district,3.9122015596226105,2.100112668540487,2.5479000000000003,30.57333333333333,openrouteservice:foot-walking,True,27900960.0,17.144171690642843,389678.21229050285,12.873079147051833,289,23500000.0,419400.0,342119.2052980133,490082.9878665318,59,11641101.0,431820.0099552016,368198.9674344718,497352.38574549387,62,21231530.0,403335.0703977662,266989.2648873235,460602.50185833685,423,7800000.0,318181.8181818182,256252.75590551182,411670.42067508626
330399762,cian,2026-05-31T10:25:45.229890+00:00,Санкт-Петербург,homeowner,studio,0,27.0,3.332204510175204,5.0,8.0,0.625,False,False,Адмиралтейский,Технологический институт,unknown,59.9114484,30.310573,house,3.02551458284433,0.6508592622925734,0.9171,11.005,openrouteservice:foot-walking,True,6400000.0,15.671808704579888,237037.03703703705,12.375975901066672,112,21157495.5,415390.36057552614,275330.55738183943,488808.1866412686,27,12200000.0,460980.0,345959.595959596,603862.9844186975,22,27338354.5,420906.59592227696,380505.0045834861,449055.0,423,7800000.0,318181.8181818182,256252.75590551182,411670.42067508626
330027479,cian,2026-05-31T10:25:45.229890+00:00,Санкт-Петербург,developer,studio,0,38.1,3.66612246699132,11.0,15.0,0.7333333333333333,False,False,Красногвардейский,Ладожская,Апарт-отель GloraX Заневский,59.9320205,30.4344257,house,6.742698725431405,0.375667502425005,0.5251,6.301666666666667,openrouteservice:foot-walking,True,7739999.0,15.86191224556591,203149.58005249343,12.22170275670342,133,10600000.0,236008.01282051284,201072.38605898124,365940.0,33,7677594.0,240000.0,213120.0,345327.1028037383,40,10280499.5,250302.30645757698,220650.6769922392,333756.7757009346,423,7800000.0,318181.8181818182,256252.75590551182,411670.42067508626
327906666,cian,2026-05-31T10:25:45.229890+00:00,Санкт-Петербург,real_estate_agent,studio,0,11.6,2.533696813957432,4.0,4.0,1.0,False,True,Центральный,Лиговский проспект,unknown,59.9201998,30.3509539,house,2.8986964540894453,0.1848229370585998,0.2824,3.3883333333333336,openrouteservice:foot-walking,True,5100000.0,15.444751293772969,439655.1724137931,12.993748274089452,182,38435977.0,478277.65859638364,328593.67783375044,625000.0,23,10000000.0,414937.75933609955,302112.1351766513,478277.65859638364,13,11000000.0,414937.75933609955,251875.66988210074,425724.22885572136,423,7800000.0,318181.8181818182,256252.75590551182,411670.42067508626
330537993,cian,2026-05-31T10:25:45.229890+00:00,Санкт-Петербург,real_estate_agent,studio,0,28.0,3.367295829986474,3.0,10.0,0.3,False,False,Василеостровский,Приморская,unknown,59.9421413,30.225377,house,4.957333393755324,0.7533667291423739,0.9824,11.788333333333332,openrouteservice:foot-walking,True,6944000.0,15.753388679331527,248000.0,12.421188057397055,289,23500000.0,419400.0,342119.2052980133,490082.9878665318,59,11641101.0,431820.0099552016,368198.9674344718,497352.38574549387,138,21446500.0,385156.11746426974,330969.7478991597,450216.07882538816,423,7800000.0,318181.8181818182,256252.75590551182,411670.42067508626
318142404,cian,2026-05-31T10:25:45.229890+00:00,Санкт-Петербург,developer,studio,0,22.9,3.173878458937465,3.0,11.0,0.2727272727272727,False,False,Адмиралтейский,Технологический институт,Измайловский,59.9184426,30.302795,district,2.3282287750595416,0.8411754682245668,1.1973,14.366666666666667,openrouteservice:foot-walking,True,10556442.0,16.172246942378813,460980.0,13.041112106378892,112,21157495.5,415390.36057552614,275330.55738183943,488808.1866412686,27,12200000.0,460980.0,345959.595959596,603862.9844186975,22,27338354.5,420906.59592227696,380505.0045834861,449055.0,423,7800000.0,318181.8181818182,256252.75590551182,411670.42067508626
324422581,cian,2026-05-31T10:25:45.229890+00:00,Санкт-Петербург,real_estate_agent,studio,0,21.2,3.100092288878234,3.0,6.0,0.5,False,False,Центральный,Владимирская,unknown,59.9263384,30.3526353,house,2.5431992827570213,0.3626448572550747,0.4982,5.9783333333333335,openrouteservice:foot-walking,True,4690000.0,15.360943353642057,221226.41509433964,12.306946478990142,182,38435977.0,478277.65859638364,328593.67783375044,625000.0,23,10000000.0,414937.75933609955,302112.1351766513,478277.65859638364,6,17500000.0,255423.24379211667,222979.2593037696,284259.7688497523,423,7800000.0,318181.8181818182,256252.75590551182,411670.42067508626
